Transaction ID,Item ID
270,16
270,18
271,16
271,18
272,16
272,18
273,16
273,18
274,16
274,18
275,16
275,18
276,16
276,18
277,16
277,18
278,16
278,18
279,16
279,18
280,16
280,18
281,16
281,18
282,16
282,18
283,16
283,18
284,16
284,18
285,16
285,18
286,16
286,18
287,16
287,18
288,16
288,18
289,16
289,18
290,16
290,18
291,16
291,18
292,16
292,18
293,16
293,18
294,16
294,18
295,16
295,18
296,16
296,18
297,16
297,18
298,16
298,18
299,16
299,18
300,16
300,18
301,16
301,18
302,16
302,18
303,16
303,18
304,16
304,18
305,16
305,18
306,16
306,18
307,16
307,18
308,16
308,18
309,16
309,18
310,16
310,18
311,16
311,18
312,16
312,18
313,16
313,18
314,16
314,18
315,16
315,18
316,16
316,18
317,16
317,18
318,16
318,18
319,16
319,18
320,16
320,18
321,16
321,18
322,16
322,18
323,16
323,18
324,16
324,18
325,16
325,18
326,16
326,18
327,16
327,18
328,16
328,18
329,16
329,18
330,16
330,18
331,16
331,18
332,16
332,18
333,16
333,18
334,16
334,18
335,16
335,18
336,16
336,18
337,16
337,18
338,16
338,18
339,16
339,18
340,16
340,18
341,16
341,18
342,16
342,18
343,16
343,18
344,16
344,18
345,16
345,18
